,Location,Title,Price,Style,Bedrooms,Bathrooms,Size(sqft),Air Conditioned  ,Den,Bachelor/Studio
28,Guelph, The LOFTS at 2 Quebec - Loft 209 Apartment for Rent, 2300, Apartment, 1, 1, 778, Yes,No,No
29,Guelph, The LOFTS at 2 Quebec - Loft 205 Apartment for Rent, 3500, Apartment, 1 , 2, 1417, Yes,Yes,No
30,Guelph, The LOFTS at 2 Quebec - Loft 202 Apartment for Rent, 2800, Apartment, 1, 1, 954, Yes,No,No
31,Guelph, 2 Bedrooms + Den Condo Apartment for Rent in Guelph, 2549, Condo, 2 , 1.5, 1166, No,Yes,No
32,Guelph, One Bedroom Walkout Apartment for Rent, 1895, Apartment, 1, 1, Limited, No,No,No
33,Guelph, 53 & 65 Speedvale Ave. W - 1 Bedroom Apartment for Rent, 2138, Apartment, 1, 1, 738, No,No,No
34,Guelph, Guelph 2 Bedroom Apartment for Rent:, 2100, Apartment, 2, 1, 847, No,No,No
35,Guelph, Avalon on the Parkway: Apartment for rent in Guelph, 2425, Apartment, 2, 1, 847, No,No,No
36,Guelph, Avalon on the Parkway: Apartment for rent in Guelph, 1949, Apartment, 1, 1, 636, No,No,No
37,Guelph, Bright and spacious 2-bedroom walkout basement apartment, 2000, Basement, 2, 1, 800, No,No,No
38,Guelph, Guelph 1 Bedroom Apartment for Rent:, 1980, Apartment, 1, 1, 669, No,No,No
39,Guelph, Apartment for Rent - $1550.00 utilities included, 1550, Basement, 1, 1, Limited, No,No,No
40,Guelph, Guelph 1 Bedroom Apartment for Rent:, 1915, Apartment, 1, 1, 700, No,No,No
41,Guelph, Guelph 2 Bedroom Apartment for Rent:, 2140, Apartment, 2, 1, 724, Yes,No,No
42,Guelph, Two bedroom basement apartment for rent in south end, 1700, Basement, 2, 1, 800, No,No,No
43,Guelph, One Bedroom Walkout Apartment for Rent, 1895, Apartment, 1, 1, Limited, No,No,No
44,Guelph, Guelph 1 Bedroom Apartment for Rent:, 1965, Apartment, 1, 1, 675, No,No,No
45,Guelph, Modern 2 bedroom 1 bathroom Semi Basement Apartment, 2300, Basement, 2, 1, 800, Yes,No,No
46,Guelph, One bed room apartment for rent, 1500, Duplex/Triplex, 1, 1, 900, No,No,No
47,Guelph, 2BR basement apt for rent near Downtown Guelph, 1690, Apartment, 2, 1, Limited, No,No,No
48,Guelph, 3BR Apt for rent near Downtown Guelph, 2480, Apartment, 3, 1, Limited, No,No,No
49,Guelph, Bright Cozy Two Bedroom Apartment for Rent, 1550, Apartment, 2, 1, 600, No,No,No
50,Guelph, 1 furnished basement apartment close to UoG, 1290, Basement, 1 , 1, 700, Yes,Yes,No
51,Guelph, One bedroom basement apartment available for rent!, 1600, Basement, 1, 1, 700, No,No,No
52,Guelph, 351 Eramosa Rd. - 2 Bedroom Apartment for Rent, 2420, Apartment, 2, 1, 889, No,No,No
53,Guelph, Avalon on the Parkway: Apartment for rent in Guelph, 2099, Apartment, 1, 1, 636, No,No,No
54,Guelph, All utilities included, 1700, Apartment, 2, 1, 900, No,No,No
55,Guelph, Basement apartment available for rent, 2100, Basement, 2, 1, 750, No,No,No
56,Guelph, Apartment for rent, 1350, Basement, 1, 1, 1000, Yes,No,No
57,Guelph, Beautiful Upscale 1 Bedroom for Rent!, 2300, Apartment, 1, 1, 600, No,No,No
58,Guelph, Avalon on the Parkway: Apartment for rent in Guelph, 2325, Apartment, 2, 1, 896, No,No,No
59,Guelph, Renovated one bedroom apartment for rent, 1750, Apartment, 1 , 1, 700, No,Yes,No
60,Guelph, One bedroom apartment for rent in Guelph, 1695, Apartment, 1, 1, 500, No,No,No
61,Guelph, Avalon on the Parkway: Apartment for rent in Guelph, 2399, Apartment, 2, 1, 847, No,No,No
62,Guelph, 1 bedrrom basement apartment for rent, 1400, Basement, 1, 1, 780, No,No,No
63,Guelph, Avalon on the Parkway: Apartment for rent in Guelph, 2399, Apartment, 2, 1, 896, No,No,No
64,Guelph, Avalon on the Parkway: Apartment for rent in Guelph, 2099, Apartment, 1, 1, 652, No,No,No
65,Guelph, 1 Bedroom Apartment Guelph Rent, 1850, Apartment, 1 , 1, 1000, No,Yes,No
66,Guelph, Affordable Bachelor Living at Southwood Apartments in Guelph!, 1795, Apartment, 0, 1, N/A, No,No,Yes
67,Guelph, One Bedroom Basement Apartment for Rent - Guelph ON, 1699, Basement, 1, 1, 500, Yes,No,No
68,Guelph, * NEW  Shared 2 Bedroom Apartment, 850, Apartment, 1, 1, 800, No,No,No
69,Guelph, Avalon on the Parkway: Apartment for rent in Guelph, 2550, Apartment, 2, 1, 896, No,No,No
70,Guelph, 996 Paisley Rd. - 2 Bedroom Apartment for Rent, 2707, Apartment, 2, 2, 1098, Yes,No,No
71,Guelph, Avalon on the Parkway: Apartment for rent in Guelph, 2449, Apartment, 2, 1, 896, No,No,No
72,Guelph, 283 Bristol Street - One Bedroom Apartment Apartment for Rent, 1980, Apartment, 1, 1, N/A, No,No,No
73,Guelph, 2 Bedroom Apartment for Rent - 27-40 Vanier Drive, 2206, Apartment, 2, 1, 842, No,No,No
74,Guelph, 2 Bedroom Loft Apartment For Rent with Car Park and Balcony, 2200, Apartment, 2, 2, 2226, No,No,No
75,Guelph, 772 Paisley Rd.Candlewood Dr. - 1 Bedroom Apartment for Rent, 2134, Apartment, 1, 1, 660, No,No,No
76,Guelph, Two-bedroom apartment for rent Sep 1. Two free parking spots, 2200, Apartment, 2, 1, 950, No,No,No
77,Guelph, 7-11 Manhattan Crt. - 2 Bedroom Apartment for Rent, 2494, Apartment, 2, 1, 843, No,No,No
78,Guelph, The Chelsea  - 2 Bedroom w/Den Apartment for Rent, 2938, Apartment, 2, 2, 1139, Yes,No,No
79,Guelph, 351 Eramosa Rd. - 1 Bedroom Apartment for Rent, 1989, Apartment, 1, 1, 655, No,No,No
80,Guelph, 171 Kortright Rd. - 1 Bedroom Apartment for Rent, 2282, Apartment, 1, 1, 648, Yes,No,No
81,Guelph, 7-11 Manhattan Crt. - 3 Bedroom Apartment for Rent, 2744, Apartment, 3, 1, 1109, No,No,No
82,Guelph, 1020 Paisley Rd.  - 1 Bedroom Apartment for Rent, 2445, Apartment, 1, 1, 716, No,No,No
83,Guelph, 1042 Paisley Rd. - 2 Bedroom Apartment for Rent, 2756, Apartment, 2, 2, 1070, Yes,No,No
85,Hamilton, Brand Spanking New 1 and 2 bedroom Apartments in Dunnville, 1597, Apartment, 1, 1, Limited, No,No,No
86,Hamilton, Stoney Creek Towers: Apartment for rent in Hamilton, 2399, Apartment, 2, 1, 825, No,No,No
87,Hamilton, 2 Bedroom For Rent - Near GO Station - Downtown - Call Now!, 1985, Apartment, 2, 1, 730, No,No,No
88,Hamilton, Premium Waterfront 2-Bedroom for Rent in Burlington!, 3795, Apartment, 2, 1, N/A, Yes,No,No
89,Hamilton, Live Work and Play in Downtown Hamilton!! 1 Bedroom for Rent!, 1750, Apartment, 1, 1, N/A, No,No,No
90,Hamilton, 3 Bed 1 Bath. Price inc:Heat Hyro Water Internet/Satallite, 2600, House, 3, 1, 1000, No,No,No
91,Hamilton, Upscale Studio + 2 bedroom Apartments for RENT, 1250, Apartment, 0, 1, Limited, No,No,Yes
92,Hamilton, Two Bedroom Basement Apartment for Rent, 2250, Basement, 2 , 1, 1500, Yes,Yes,No
93,Hamilton, Aberdeen Apartments - 1 Bedroom Apartment for Rent, 1350, Apartment, 1, 1, N/A, No,No,No
94,Hamilton, Gorgeous 1 bed / 1 bath apartments available Sept 1st!!, 1695, Apartment, 1, 1, Limited, No,No,No
95,Hamilton, Halstead Gardens: Apartment for rent in Hamilton, 2999, Apartment, 3, 1, 1343, No,No,No
96,Hamilton, **STUNNING** 3 Bedroom Unit off of Upper Gage!!, 2250, Apartment, 3, 2, Limited, No,No,No
97,Hamilton, Hamilton Gage Park Area - Renovated One Bedroom Studio for Rent, 1250, Apartment, 0, 1, 425, No,No,Yes
98,Hamilton, One bedroom apartment for rent, 1000, House, 1, 1, 600, Yes,No,No
99,Hamilton, One-bedroom apartment Low level in Hamilton, 1700, Basement, 1, 1, 500, No,No,No
100,Hamilton, Wellington Place - Bachelor 1 Bathroom Apartment for Rent, 1350, Apartment, 0, 1, N/A, No,No,Yes
101,Hamilton, Wellington Place - 2 Bedrooms 1 Bathroom Apartment for Rent, 1849, Apartment, 2, 1, 830, No,No,No
102,Hamilton, Wellington Place - 1 Bedroom 1 Bathroom Apartment for Rent, 1575, Apartment, 1, 1, 415, No,No,No
103,Hamilton, RECONLETLEY UPDATED TWO-STORY UPPER LEVEL UNIT FOR RENT IN FAN, 2495, Apartment, 3, 1, 1400, No,No,No
104,Hamilton, [4 Bed / 1 Bath]  TWO-STORY UPPER LEVEL UNIT FOR RENT IN HAMILTO, 2545, Apartment, 4, 1, 1400, No,No,No
106,Hamilton, 775 Concession: Apartment for rent in Hamilton Mountain, 2299, Apartment, 2, 1, 945, No,No,No
107,Hamilton, Fontainebleau Apartments - 1 Bedroom Apartment for Rent, 1699, Apartment, 1, 1, 712, No,No,No
108,Hamilton, Wellington Place - 3 Bedrooms 1 Bathroom Apartment for Rent, 2149, Apartment, 3, 1, 830, No,No,No
109,Hamilton, Beautifully renovated Locke Street Apartment for Rent, 1850, Apartment, 1, 1, 550, No,No,No
110,Hamilton, 210 Aberdeen - 2 Bedroom Apartment for Rent, 1500, Apartment, 2, 1, 700, No,No,No
111,Hamilton, Newly Renovated Bachelor Suite for Rent!, 2199, Apartment, 2, 1, 850, No,No,No
112,Hamilton, Live Work and Play in Downtown Hamilton!! 2 Bedroom for Rent!!, 2000, Apartment, 2, 1, N/A, No,No,No
113,Hamilton, Halstead Gardens: Apartment for rent in Hamilton, 3149, Apartment, 3, 1, 1390, No,No,No
114,Hamilton, **SPACIOUS** 1 Bedroom Main Floor Apartment in Downtown Hamilton, 1700, Apartment, 1, 1, N/A, No,No,No
115,Hamilton, One Bedroom Basement unit for rent in Hamilton, 1300, Apartment, 1, 1, Limited, No,No,No
116,Hamilton, Renovated 1 Bedroom Apartments for Rent, 1799, Apartment, 1, 1, 750, No,No,No
117,Hamilton, 2 Bedroom Newly Renovated Suite for Rent, 1949, Apartment, 2, 1, 850, No,No,No
118,Hamilton, Grimsby Apartments: Apartment for rent in Grimsby, 2349, Apartment, 2, 1, 645, No,No,No
119,Hamilton, Renovated 2 bedroom basement apartment - available 15th June, 2000, Basement, 2, 1, 1500, Yes,No,No
120,Hamilton, For rent available sept 1, 2050, Basement, 2, 1, Limited, No,No,No
121,Hamilton, 775 Concession: Apartment for rent in Hamilton Mountain, 2133, Apartment, 2, 1, 624, No,No,No
122,Hamilton, 2 BEDROOM BASEMENT FOR RENT-  McQUESTERN WEST HAMILTON, 1900, Apartment, 2, 1, 950, No,No,No
123,Hamilton, 2 Bedroom Newly Renovated Suite for Rent, 2249, Apartment, 2, 1, 900, No,No,No
124,Hamilton, 2 Bedroom Suite Downtown Hamilton!!, 2249, Apartment, 2, 1, 850, No,No,No
125,Hamilton, 1 Bedroom Renovated Suite for Rent!, 1725, Apartment, 1, 1, 650, No,No,No
126,Hamilton, 3 Bedroom Apartment For Rent - Recently Updated!!, 2500, Apartment, 3 , 2, Limited, No,Yes,No
127,Hamilton, EIWO Canadian Management Ltd. - 1 BEDROOM UNIT FOR RENT, 1700, Apartment, 1, 1, N/A, No,No,No
128,Hamilton, Fully Renovated 1 Bedroom Apartments for Rent, 1799, Apartment, 1, 1, 650, No,No,No
129,Hamilton, Luxury renovated apartments located in Stoney Creek Hamilton, 1799, Apartment, 1, 1, 650, No ,No,No
130,Hamilton, 1 Bedroom Apartment for Rent - 140 Robinson Street, 1625, Apartment, 1, 1, 380, Yes,No,No
131,Hamilton, Stoney Creek Towers: Apartment for rent in Hamilton, 2399, Apartment, 2, 1, 825, No,No,No
132,Hamilton, 1 Bedroom Apartment for Rent - 200 Bay Street South, 1725, Apartment, 1, 1, 535, No,No,No
133,Hamilton, Live Work and Play in Downtown Hamilton!! 1 Bedroom for Rent!, 1750, Apartment, 1, 1, N/A, No,No,No
134,Hamilton, 2 Bedroom Apartment for Rent - 200 Bay Street South, 2000, Apartment, 2, 1, 785, No,No,No
135,Hamilton, #1403-212 King William Street, 2200, Apartment, 1, 1, 534, No,No,No
136,Hamilton, One Bedroom For Rent at Durand Village - 93  Bold Street, 2100, Apartment, 1, 1, 714, Yes,No,No
137,Hamilton, Cayuga - Newly Renovated One Bedroom+Den Apt. Avail. Sept 1st!, 1550, Apartment, 1 , 1, 950, No,Yes,No
138,Hamilton, Corner one bedroom apartment with balcony near Mohawk College, 1500, Apartment, 1, 1, 600, No,No,No
139,Hamilton, Bayview: Apartment for rent in Hamilton Mountain, 2175, Apartment, 1, 1, 756, No,No,No
140,Hamilton, 3 Bed upstair Apartment for Rent in Hamilton, 2700, House, 3, 1, 1200, No,No,No
141,Hamilton, 16 Helen St - Spacious & Fully Renovated 3 bdrm - August 1st, 2350, Apartment, 3, 1, N/A, No,No,No
142,Hamilton, Pier Towers: Apartment for rent in Merrickville Hamilton, 2549, Apartment, 2, 1, 825, No,No,No
143,Hamilton, Luxurious 1 bedroom condos available for rent, 1425, Condo, 1, 1, Limited, No,No,No
144,Hamilton, Above ground in-law suite, 1900, House, 1 , 1, 900, No,Yes,No
145,Hamilton, Large two bedroom apartment with balcony near Mohawk College, 1850, Apartment, 2, 1, 800, No,No,No
146,Hamilton, One bedroom at 320 Barton St for rent $1400.00 all included, 1400, Apartment, 1, 1, 600, No,No,No
147,Hamilton, Modern 710sf 2-Bedroom in Durand with Parking Available, 2195, Apartment, 2, 1, 710, No,No,No
148,Hamilton, 150 Main St. W. - 2 Bedroom  Apartment for Rent, 3549, Apartment, 2, 1, 1700, No,No,No
150,Hamilton, Proctor Place Apartments - 1 Bedroom Apartment for Rent, 1599, Apartment, 1, 1, N/A, No,No,No
151,Hamilton, Newly Renovated First Floor Apartment for Rent, 2000, Townhouse, 2, 1, 1000, No,No,No
152,Hamilton, Grimsby Apartments: Apartment for rent in Grimsby, 2349, Apartment, 2, 1, 905, No,No,No
153,Hamilton, Grimsby Apartments: Apartment for rent in Grimsby, 1699, Apartment, 0, 1, 451, No,No,Yes
154,Hamilton, 2 Bedroom For Rent - Near GO Station - Downtown - Call Now!, 1985, Apartment, 2, 1, 730, No,No,No
155,Hamilton, 2 Bedroom apartment for rent in Waterdown, 2100, Duplex/Triplex, 2, 1, Limited, No,No,No
156,Hamilton, Apartment bachelor/bachelorette for rent, 1150, Apartment, 0, 1, 500, No,No,Yes
157,Hamilton, Villa Marie 2 - 2 Bedroom Apartment for Rent, 2204, Apartment, 2, 1, 850, No,No,No
158,Hamilton, Villa Marie 1 - 2 Bedroom Apartment for Rent, 2146, Apartment, 2, 1, 870, No,No,No
159,Hamilton, Villa Marie 3 - 2 Bedroom Apartment for Rent, 2172, Apartment, 2, 1, 825, No,No,No
160,Hamilton, Villa Marie 4 - 1 Bedroom  Apartment for Rent, 1693, Apartment, 1, 1, 626, No,No,No
161,Hamilton, Villa Marie 2 - 3 Bedroom Apartment for Rent, 2799, Apartment, 3, 2, N/A, No,No,No
162,Hamilton, Villa Marie 4 - 2 Bedroom Apartment for Rent, 2154, Apartment, 2, 1, 831, No,No,No
163,Hamilton, Villa Marie 3 - 3 Bedroom Apartment for Rent, 2802, Apartment, 3, 2, 1108, No,No,No
164,Hamilton, Villa Marie 2 - 1 Bedroom Apartment for Rent, 1905, Apartment, 1, 1, 643, No,No,No
165,Hamilton, Villa Marie 3 - 1 Bedroom Apartment for Rent, 1786, Apartment, 1, 1, N/A, No,No,No
166,Hamilton, 113-123 Emerald St. S. - 2 Bedroom Apartment for Rent, 1920, Apartment, 2, 1, 766, No,No,No
167,Hamilton, 86 Tisdale St. S - 1 Bedroom Apartment for Rent, 1633, Apartment, 1, 1, 456, No,No,No
168,Hamilton, BASEMENT APPT FOR RENT, 1800, Apartment, 1 , 1.5, Limited, No,Yes,No
169,Hamilton, Don & Grant: Apartment for rent in University Gardens Hamilton, 2049, Apartment, 1, 1, 654, No,No,No
170,Hamilton, Don & Grant: Apartment for rent in University Gardens Hamilton, 2099, Apartment, 1, 1, 1, No,No,No
171,Hamilton, 1 bedroom apartment for rent, 1500, Basement, 1, 1, 600, No,No,No
172,Hamilton, Two Bedroom For Rent at Durand Village - 93  Bold Street, 2600, Apartment, 2, 1, 866, Yes,No,No
173,Hamilton, 2 Bedroom Basement Apartment for Rent, 1600, Basement, 2, 1, 1050, No,No,No
174,Hamilton, Stoney Creek Towers: Apartment for rent in Hamilton, 2399, Apartment, 2, 1, 825, No,No,No
175,Hamilton, Live Work and Play in Downtown Hamilton!! 1 Bedroom for Rent!, 1750, Apartment, 1, 1, N/A, No,No,No
176,Hamilton, 2 Bedroom Apartment for Rent - 200 Bay Street South, 2000, Apartment, 2, 1, 785, No,No,No
177,Hamilton, 2 Bedroom For Rent - Near GO Station - Downtown - Call Now!, 1985, Apartment, 2, 1, 730, No,No,No
178,Hamilton, 1 Bedroom Apartment for Rent - 200 Bay Street South, 1725, Apartment, 1, 1, 535, No,No,No
179,Hamilton, One bedroom apartment  ( walkout basement) bright + big windows, 1499, Basement, 1, 1, 660, No,No,No
180,Hamilton, One bedroom Basement apartment ( bright + big windows), 1499, Basement, 1, 1, 660, No,No,No
182,Hamilton, 2 Bedroom Basement Apartment for Rent, 1800, Basement, 2, 1, 1000, No,No,No
184,Hamilton, A Spacious Suite for Rent..., 2300, Basement, 2 , 2, 2000, Yes,Yes,No
185,Hamilton, West Hamilton Mountain Unit for Rent - Utilities Included!, 2100, Basement, 2, 1, 1100, No,No,No
186,Hamilton, Clean bright 1 bdrm apt for rent close to Mac, 1700, Apartment, 1, 1, 600, No,No,No
187,Hamilton, Furnished Basement Apartment for Rent, 1500, Basement, 1, 1, 500, Yes,No,No
188,Hamilton, *Townhouse for Lease in Winona Stoney Creek Hamilton*, 2650, Townhouse, 3 , 2.5, 1600, No,Yes,No
189,Hamilton, Bachelor Apartment, 1300, Apartment, 1, 1, 500, No,No,No
190,Hamilton, 1 Bedroom Apartment for Rent - 200 Bay Street South, 1725, Apartment, 1, 1, 535, No,No,No
191,Hamilton, Live Work and Play in Downtown Hamilton!! 1 Bedroom for Rent!, 1750, Apartment, 1, 1, N/A, No,No,No
192,Hamilton, 2 Bedroom Apartment for Rent - 200 Bay Street South, 2000, Apartment, 2, 1, 785, No,No,No
193,Hamilton, Premium Waterfront 2-Bedroom for Rent in Burlington!, 3795, Apartment, 2, 1, N/A, Yes,No,No
194,Hamilton, Stoney Creek Towers: Apartment for rent in Hamilton, 2399, Apartment, 2, 1, 825, No,No,No
195,Hamilton, Hamilton Legal Basement Apartment for Rent, 1950, Duplex/Triplex, 1, 1, 600, No,No,No
196,Hamilton, Basment for rent, 1600, Basement, 1, 1, 550, No,No,No
197,Hamilton, 157 Pearl: Apartment for rent in Downtown Hamilton, 2249, Apartment, 1, 1, 687, No,No,No
198,Hamilton, Rooms for Rent in 4 Bedroom + 2 Washroom Apartment in Hamilton, 575, Duplex/Triplex, 4, 2, Limited, No,No,No
199,Hamilton, Rebecca Towers - 1 Bedroom Apartment for Rent, 1350, Apartment, 1, 1, 550, No,No,No
200,Hamilton, Rebecca Towers - 2 Bedroom Apartment for Rent, 1500, Apartment, 2, 1, N/A, No,No,No
201,Hamilton, **BRAND NEW** 1 BEDROOM CONDO IN BEAMSVILLE!!, 1695, Apartment, 1, 1, N/A, Yes,No,No
202,Hamilton, BEAUTFUL 2 Bedroom - Highly-desired West Mountain!, 1875, Apartment, 2, 1, 1000, No,No,No
203,Hamilton, Brand New Condo Pent House for Rent -  2Bed 2Wash - Hamilton, 3300, Condo, 2, 2, 900, No,No,No
204,Hamilton, 1 Bd / 1 Bath Apartment Beamsville, 1795, Condo, 1, 1, 510, No,No,No
205,Hamilton, Beautiful 1 Bedroom Apartment For Rent Near McMaster University, 1900, Apartment, 1, 1, 550, No,No,No
206,Hamilton, Renovated 2 bedroom for rent, 1800, Apartment, 2, 1, 900, No,No,No
207,Hamilton, HOM - 3 Bedroom Apartment for Rent, 3245, Apartment, 3, 2, 1068, No,No,No
208,Hamilton, HOM - 2 Bedroom Apartment for Rent, 2489, Apartment, 2, 2, 810, No,No,No
209,Hamilton, HOM - 1 Bedroom Apartment for Rent, 2242, Apartment, 1, 1, 608, No,No,No
210,Hamilton, Grimsby Apartments: Apartment for rent in Grimsby, 2049, Apartment, 1, 1, 645, No,No,No
211,Hamilton, Grimsby Apartments: Apartment for rent in Grimsby, 1899, Apartment, 1, 1, 655, No,No,No
212,Hamilton, Brand New 2 bedroom unit for rent in Hamilton, 2200, Apartment, 2, 1, 900, No,No,No
213,Hamilton, Unique 2 Story Townhome Style Condominiums For Rent or Sale, 1995, Condo, 3, 1, 971, No,No,No
214,Hamilton, trailer apartment  for rent by MacMaster 700$ month, 700, Apartment, 0, 1, 19, Yes,No,Yes
215,Hamilton, New 1 Bedroom Apartment  In St. Catherines, 1495, Apartment, 1, 1, 600, No,No,No
216,Hamilton, 1 Bedroom + Den Apartment for Rent, 2225, Apartment, 1 , 1, 1217, No,Yes,No
217,Hamilton, 2 Bedroom Apartment for Rent - 33 Robinson Street, 2100, Apartment, 2, 1, 800, No,No,No
218,Hamilton, Bachelor Apartment for Rent - 136 Bay Street South, 1595, Apartment, 0, 1, 360, No,No,Yes
219,Hamilton, 1 Bedroom Apartment for Rent - 136 Bay Street South, 1775, Apartment, 1, 1, 640, No,No,No
220,Hamilton, 2 Bedroom Apartment for Rent - 200 Bay Street South, 2000, Apartment, 2, 1, 785, No,No,No
222,Hamilton, Basement Apartment for Rent, 1750, Basement, 1, 1, 700, No,No,No
223,Hamilton, Grimsby Apartments: Apartment for rent in Grimsby, 2349, Apartment, 2, 1, 905, No,No,No
224,Hamilton, 1 BedroomApartment Rent 310-3200 Regional Rd Hwy 56 Binbrook ON, 1850, Apartment, 1, 1, Limited, No,No,No
225,Hamilton, 1 BEDROOM - fully renovated with balcony - AVAILABLE July 1st, 1675, Apartment, 1, 1, N/A, No,No,No
226,Hamilton, 2 BEDROOM - fully renovated with balcony - July 1st!, 1995, Apartment, 2, 1, N/A, No,No,No
227,Hamilton, 2 BEDROOM - renovated with balcony - July 1st, 1995, Apartment, 2, 1, N/A, No,No,No
228,Hamilton, 1 BEDROOM - fully renovated with balcony - AVAILABLE July 1st, 1675, Apartment, 1, 1, N/A, No,No,No
229,Hamilton, 2bhk apartment for rent in low price, 2550, Apartment, 2, 1, 1300, No,No,No
231,Hamilton, 2 BEDROOM - fully renovated with balcony - August 1st, 1825, Apartment, 2, 1, N/A, No,No,No
232,Hamilton, 1 bedroom with Balcony - AVAILABLE AUGUST 1st, 1675, Apartment, 1, 1, N/A, No,No,No
233,Hamilton, EIWO Canadian Management Ltd. - 1 BEDROOM UNITS FOR RENT, 1650, Apartment, 1, 1, N/A, No,No,No
234,Hamilton, 1 bedroom Suite - fully renovated with balcony -Sept 1 move in, 1525, Apartment, 1, 1, N/A, No,No,No
236,Kitchener, Student Rentals for September (All-InclusiveClose to UW WLU), 950, Duplex/Triplex, 5+, 2, 2500, No,No,No
237,Kitchener, 265 Lawrence Avenue Apartments - 3 Bdrm available at 265 Lawrenc, 2595, Apartment, 3, 1, 1060, No,No,No
238,Kitchener, New Two Bedroom Basement for Rent, 2000, Basement, 2, 1, 700, No,No,No
239,Kitchener, Two Bedroom Suite for Rent | Located Near Belmont Village, 1949, Apartment, 2, 1, N/A, No,No,No
240,Kitchener, New 2 Bed Suites! Two Months Free* Bell Internet* Flexible Dates, 2455, Apartment, 2, 2, 767, No,No,No
241,Kitchener, Spacious Walkout Basement Apartment available for Oct 1st. Lease, 2100, Basement, 1, 1, Limited, No,No,No
242,Kitchener, Beautiful 2 Bedroom Condo, 2595, Condo, 2, 2, N/A, No,No,No
243,Kitchener, Brand New 2 Bedroom Suites @ OPHELIA With 2 MONTHS FREE RENT!, 2490, Condo, 2, 1.5, 795, No,No,No
244,Kitchener, TWO MONTHS FREE & NOW LEASING - 2 Bedroom Suites @ The Woodside, 2340, Condo, 2, 2, 767, No,No,No
245,Kitchener, $1590/month COZY 1BDRM IN DESIRABLE MOUNT HOPE AREA!, 1590, Duplex/Triplex, 1, 1, Limited, No,No,No
246,Kitchener, 3 Bedroom 2 Bathroom Steps to Uptown Waterloo!!, 2900, Duplex/Triplex, 3, 1.5, 1000, No,No,No
